ein,total_revenue,program_expenses,tax_year,efficiency_ratio
26-3324332,3065460.0,3356907.0,2023,1.0950744749564503
26-4008074,4257789.0,5880229.0,2023,1.381052231569014
26-4482112,1866211.0,1737647.0,2023,0.9311096119356279
27-0436350,611798.0,807546.0,2023,1.3199552793569118
27-0580274,2243540.0,1706563.0,2023,0.760656373409879
27-1975049,3040373.0,2902337.0,2023,0.9545989916368814
27-2039522,6373801.0,4901213.0,2023,0.7689623507229046
27-2047238,3703248.0,3479562.0,2023,0.939597348057705
27-2210184,1456448.0,1346222.0,2023,0.924318616249945
27-2917974,1653386.0,1611836.0,2023,0.9748697521328957
27-3267930,286762.0,893296.0,2023,3.115112881065134
27-3343277,2163866.0,1766416.0,2023,0.8163241161883407
27-3918455,831729.0,893373.0,2023,1.0741154871358338
27-4357794,13137075.0,13137075.0,2023,1.0
27-4608005,2495066.0,2963754.0,2023,1.1878459327328414
27-4688153,828617.0,694770.0,2023,0.8384694014243009
27-5316628,56909254.0,62559842.0,2023,1.099291197877941
30-0056836,5030769.0,2607776.0,2023,0.5183652837170619
30-0167821,15496339.0,16136968.0,2023,1.0413406676247854
30-0245250,12720323.0,10920175.0,2023,0.858482524382439
30-0253124,489324.0,578545.0,2023,1.182335221652729
32-0207585,3465400.0,3621494.0,2023,1.0450435736134356
36-4465022,1516362.0,1577327.0,2023,1.040204779597484
36-4510585,2144906.0,1775024.0,2023,0.8275532820552509
37-1660097,40488563.0,34842970.0,2023,0.8605632657301273
41-1800192,6048930.0,2147834.0,2023,0.35507668298360207
42-1607854,13229636.0,1958274.0,2024,0.14802175963117958
45-2155957,796246.0,1142398.0,2022,1.4347299703860366
45-2474862,2672085.0,2726393.0,2023,1.0203242037584883
45-3037447,841198.0,346640.0,2023,0.41207896357337986
45-3211706,1005477.0,1965949.0,2022,1.9552401497000926
45-3533828,3340515.0,4007602.0,2023,1.1996958552797996
45-3931968,1753458.0,2020173.0,2023,1.1521080060086983
45-5567885,2974739.0,3659242.0,2023,1.2301052293999575
46-0543230,125333691.0,145612405.0,2023,1.1617977882738648
46-1606237,1015152.0,1305610.0,2023,1.286122669314546
46-1720815,2506459.0,2229323.0,2023,0.8894312653827571
46-2496701,1808062.0,2118811.0,2023,1.1718685531801454
46-2767095,1644393.0,1610302.0,2023,0.9792683379216526
46-2837911,725555.0,852135.0,2023,1.1744595516535619
46-2931956,167940214.0,208536352.0,2023,1.2417297026905063
46-3015560,2119809.0,2119656.0,2023,0.9999278236860019
46-3475908,5156679.0,5159272.0,2023,1.0005028430119463
46-3582754,937696.0,1427185.0,2023,1.522012464594069
46-3725469,879492.0,284834.0,2023,0.3238619566749896
46-3756713,55077693.0,53249154.0,2022,0.9668007336472862
46-3843748,1276764.0,1527016.0,2023,1.1960048998875281
